2024-01-29 19:51:36.640 [info] Experiment 'pythonaacf' is active
2024-01-29 19:51:36.640 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-01-29 19:51:36.640 [info] Experiment 'pythonREPLSmartSend' is active
2024-01-29 19:51:36.640 [info] Experiment 'pythonTerminalEnvVarActivationcf' is active
2024-01-29 19:51:36.640 [info] Experiment 'pythonTestAdapter' is active
2024-01-29 19:51:36.640 [info] Default formatter is set to esbenp.prettier-vscode for workspace /home/kolbe/CSCI_251
2024-01-29 19:51:36.640 [info] Test server listening.
2024-01-29 19:51:36.640 [info] Python interpreter path: /bin/python3
2024-01-29 19:51:36.732 [info] > conda info --json
2024-01-29 19:51:37.920 [info] Starting Pylance language server.
2024-01-29 19:59:09.119 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 19:59:24.819 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 19:59:41.312 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 19:59:52.201 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:00:49.681 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:00:57.109 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:00:58.879 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:01:54.797 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:02:13.695 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:03:17.786 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:04:24.824 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:04:31.801 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:07:04.084 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:07:26.670 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:07:47.388 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:34:34.450 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
2024-01-29 20:46:25.021 [info] Discover tests for workspace name: CSCI_251 - uri: /home/kolbe/CSCI_251/hw2/LogicGates.py
